iter	Passed	Remaining
290	680	1657
291	681	1652
292	683	1649
293	685	1646
294	688	1645
295	691	1644
296	693	1641
297	695	1638
298	697	1635
299	699	1632
300	703	1634
301	706	1633
302	708	1629
303	712	1630
304	713	1625
305	714	1620
306	715	1615
307	716	1610
308	718	1606
309	719	1601
310	720	1596
311	721	1591
312	722	1586
313	723	1581
314	724	1576
315	725	1571
316	726	1566
317	728	1561
318	729	1556
319	730	1551
320	731	1546
321	732	1541
322	733	1537
323	734	1533
324	735	1528
325	736	1523
326	739	1521
327	741	1519
328	743	1516
329	745	1513
330	749	1515
331	751	1512
332	753	1509
333	757	1509
334	759	1507
335	761	1505
336	765	1505
337	767	1502
338	769	1499
339	771	1497
340	773	1494
341	775	1491
342	779	1492
343	781	1491
344	787	1494
345	789	1491
346	791	1488
347	793	1486
348	798	1488
349	800	1487
350	802	1484
351	804	1481
352	806	1478
353	810	1479
354	812	1476
355	814	1473
356	816	1470
357	818	1468
358	820	1465
359	822	1462
360	824	1459
361	826	1457
362	828	1453
363	830	1451
364	832	1448
365	834	1445
366	836	1442
367	838	1440
368	840	1437
369	843	1435
370	845	1432
371	846	1429
372	848	1426
373	850	1423
374	854	1424
375	860	1427
376	862	1424
377	864	1421
378	866	1419
379	877	1431
380	879	1428
381	881	1425
382	883	1422
383	885	1420
384	892	1425
385	899	1430
386	901	1427
387	905	1428
388	907	1425
389	909	1422
390	911	1419
391	913	1416
392	924	1427
393	926	1424
394	928	1421
395	930	1418
396	931	1414
397	932	1410
398	933	1405
399	934	1401
400	935	1398
401	937	1394
402	940	1393
403	942	1391
404	944	1388
405	946	1384
406	948	1382
407	950	1379
408	952	1376
409	954	1373
410	956	1370
411	958	1367
412	960	1365
413	962	1362
414	964	1359
415	967	1357
416	974	1362
417	976	1359
418	978	1356
419	980	1353
420	982	1351
421	984	1348
422	986	1345
423	988	1342
424	990	1339
425	992	1337
426	994	1334
427	998	1334
428	1000	1332
429	1002	1329
430	1004	1326
431	1006	1323
432	1008	1320
433	1032	1346
434	1045	1358
435	1049	1357
436	1051	1354
437	1053	1351
438	1054	1348
439	1058	1347
440	1064	1349
441	1066	1346
442	1068	1343
443	1072	1342
444	1074	1339
445	1077	1338
446	1079	1335
447	1083	1335
448	1097	1347
449	1112	1359
450	1113	1355
451	1114	1351
452	1116	1347
453	1117	1343
454	1118	1339
455	1119	1335
456	1120	1331
457	1121	1326
458	1122	1323
459	1125	1320
460	1127	1317
461	1129	1314
462	1131	1311
463	1132	1308
464	1161	1336
465	1163	1333
466	1165	1330
467	1167	1327
468	1169	1323
469	1171	1320
470	1173	1318
471	1188	1329
472	1191	1327
473	1193	1324
474	1195	1321
475	1197	1317
476	1198	1314
477	1241	1355
478	1243	1352
479	1246	1350
480	1264	1364
481	1270	1365
482	1272	1362
483	1275	1359
484	1277	1356
485	1279	1352
486	1280	1349
487	1289	1353
488	1291	1349
489	1293	1346
490	1306	1354
491	1312	1355
492	1313	1350
493	1314	1346
494	1315	1342
495	1317	1338
496	1318	1334
497	1319	1330
498	1320	1326
499	1328	1328
500	1330	1325
501	1333	1322
502	1335	1319
503	1337	1316
504	1339	1312
505	1341	1309
506	1342	1305
507	1344	1302
508	1346	1299
509	1349	1296
510	1351	1293
511	1360	1296
512	1379	1309
513	1385	1309
514	1388	1307
515	1389	1303
516	1392	1300
517	1394	1297
518	1396	1294
519	1407	1298
520	1408	1295
521	1410	1291
522	1412	1288
523	1413	1284
524	1415	1280
525	1415	1275
526	1417	1271
527	1418	1267
528	1419	1263
529	1420	1259
530	1421	1255
531	1422	1251
532	1423	1247
533	1424	1243
534	1425	1239
535	1427	1235
536	1429	1232
537	1430	1228
538	1431	1223
539	1432	1220
540	1433	1216
541	1434	1212
542	1435	1208
543	1436	1204
544	1437	1199
545	1438	1196
546	1439	1192
547	1440	1188
548	1441	1184
549	1443	1181
550	1444	1177
551	1445	1173
552	1446	1169
553	1447	1165
554	1449	1161
555	1450	1158
556	1451	1154
557	1453	1150
558	1453	1147
559	1454	1143
560	1456	1139
561	1457	1136
562	1458	1132
563	1459	1128
564	1460	1124
565	1461	1120
566	1462	1117
567	1463	1113
568	1464	1109
569	1465	1105
570	1466	1101
571	1467	1098
572	1468	1094
573	1469	1090
574	1471	1087
575	1472	1084
576	1474	1080
577	1475	1077
578	1476	1073
579	1477	1069
580	1478	1066
581	1479	1062
582	1480	1059
583	1481	1055
584	1482	1051
585	1483	1048
586	1484	1044
587	1486	1041
588	1487	1038
589	1488	1034
590	1489	1031
591	1490	1027
592	1492	1024
593	1493	1020
594	1494	1016
595	1495	1013
596	1496	1009
597	1497	1006
598	1498	1002
599	1499	999
600	1500	995
601	1501	992
602	1502	989
603	1504	986
604	1505	982
605	1506	979
606	1507	975
607	1508	972
608	1509	968
609	1510	965
610	1511	962
611	1512	958
612	1513	955
613	1514	952
614	1515	948
615	1517	945
616	1518	942
617	1519	939
618	1520	936
619	1522	932
620	1523	929
621	1524	926
622	1525	922
623	1526	919
624	1527	916
625	1528	913
626	1529	909
627	1530	906
628	1532	904
629	1533	900
630	1534	897
631	1535	894
632	1536	891
633	1537	887
634	1539	884
635	1540	881
636	1541	878
637	1542	875
638	1543	872
639	1545	869
640	1546	866
641	1548	863
642	1549	860
643	1550	857
644	1551	853
645	1552	850
646	1553	847
647	1554	844
648	1555	841
649	1556	838
650	1557	835
651	1558	831
652	1559	828
653	1561	826
654	1563	823
655	1564	820
656	1565	817
657	1566	814
658	1567	811
659	1568	808
660	1569	805
661	1570	802
662	1572	799
663	1573	796
664	1574	793
665	1576	790
666	1577	787
667	1578	784
668	1579	781
669	1581	778
670	1582	775
671	1583	772
672	1584	769
673	1585	766
674	1586	763
675	1587	761
676	1589	758
677	1590	755
678	1592	752
679	1593	749
680	1594	747
681	1596	744
682	1597	741
683	1598	738
684	1599	735
685	1600	732
686	1601	729
687	1602	726
688	1603	723
689	1604	721
690	1606	718
691	1607	715
692	1608	712
693	1609	709
694	1610	706
695	1611	704
696	1613	701
697	1614	698
698	1615	695
699	1616	692
700	1618	690
701	1619	687
702	1620	684
703	1622	682
704	1623	679
705	1624	676
706	1625	673
707	1626	670
708	1627	667
709	1628	665
710	1629	662
711	1630	659
712	1631	656
713	1632	653
714	1633	651
715	1635	648
716	1636	646
717	1637	643
718	1639	640
719	1640	637
720	1641	635
721	1642	632
722	1643	629
723	1644	626
724	1645	624
725	1646	621
726	1647	618
727	1648	616
728	1650	613
729	1651	610
730	1652	608
731	1653	605
732	1654	602
733	1655	600
734	1656	597
735	1657	594
736	1658	591
737	1659	589
738	1660	586
739	1661	583
740	1662	581
741	1663	578
742	1665	575
743	1666	573
744	1667	570
745	1668	568
746	1669	565
747	1670	562
748	1671	560
749	1672	557
750	1673	554
751	1674	552
752	1675	549
753	1676	547
754	1677	544
755	1678	541
756	1680	539
757	1682	537
758	1683	534
759	1684	531
760	1685	529
761	1686	526
762	1687	524
763	1689	521
764	1690	519
765	1691	516
766	1692	514
767	1694	511
768	1695	509
769	1697	506
770	1698	504
771	1699	501
772	1700	499
773	1701	496
774	1702	494
775	1703	491
776	1704	489
777	1705	486
778	1706	484
779	1707	481
780	1709	479
781	1710	476
782	1712	474
783	1713	471
784	1714	469
785	1715	466
786	1716	464
787	1717	461
788	1718	459
789	1719	457
790	1720	454
791	1721	452
792	1722	449
793	1723	447
794	1724	444
795	1726	442
796	1727	439
797	1728	437
798	1729	435
799	1730	432
800	1731	430
801	1732	427
802	1733	425
803	1734	422
804	1735	420
805	1736	418
806	1738	415
807	1739	413
808	1740	410
809	1741	408
810	1742	406
811	1743	403
812	1744	401
813	1745	398
814	1746	396
815	1747	394
816	1748	391
817	1749	389
818	1750	386
819	1751	384
820	1752	382
821	1754	379
822	1755	377
823	1756	375
824	1757	372
825	1758	370
826	1759	368
827	1761	365
828	1762	363
829	1763	361
830	1764	358
831	1765	356
832	1766	354
833	1767	351
834	1768	349
835	1770	347
836	1771	344
837	1772	342
838	1773	340
839	1774	338
840	1775	335
841	1776	333
842	1777	331
843	1778	328
844	1779	326
845	1780	324
846	1781	321
847	1783	319
848	1784	317
849	1786	315
850	1787	312
851	1788	310
852	1789	308
853	1790	306
854	1791	303
855	1793	301
856	1794	299
857	1795	297
858	1796	294
859	1797	292
860	1798	290
861	1800	288
862	1801	285
863	1802	283
864	1803	281
865	1805	279
866	1806	277
867	1807	274
868	1808	272
869	1809	270
870	1810	268
871	1811	265
872	1813	263
873	1815	261
874	1816	259
875	1817	257
876	1818	255
877	1820	252
878	1821	250
879	1822	248
880	1823	246
881	1824	244
882	1825	241
883	1826	239
884	1828	237
885	1829	235
886	1831	233
887	1832	231
888	1833	228
889	1835	226
890	1836	224
891	1837	222
892	1838	220
893	1839	218
894	1841	216
895	1842	213
896	1844	211
897	1845	209
898	1846	207
899	1848	205
900	1849	203
901	1850	201
902	1851	198
903	1852	196
904	1853	194
905	1854	192
906	1856	190
907	1857	188
908	1858	186
909	1860	183
910	1861	181
911	1862	179
912	1863	177
913	1864	175
914	1865	173
915	1867	171
916	1868	169
917	1869	166
918	1870	164
919	1871	162
920	1873	160
921	1875	158
922	1876	156
923	1878	154
924	1879	152
925	1880	150
926	1881	148
927	1882	146
928	1883	143
929	1885	141
930	1886	139
931	1887	137
932	1889	135
933	1890	133
934	1891	131
935	1893	129
936	1894	127
937	1895	125
938	1897	123
939	1898	121
940	1899	119
941	1900	117
942	1902	114
943	1904	112
944	1906	110
945	1907	108
946	1908	106
947	1909	104
948	1911	102
949	1912	100
950	1913	98
951	1914	96
952	1915	94
953	1917	92
954	1918	90
955	1920	88
956	1921	86
957	1922	84
958	1923	82
959	1925	80
960	1926	78
961	1927	76
962	1928	74
963	1929	72
964	1931	70
965	1932	68
966	1934	66
967	1935	63
968	1936	61
969	1937	59
970	1938	57
971	1939	55
972	1940	53
973	1942	51
974	1943	49
975	1944	47
976	1945	45
977	1946	43
978	1948	41
979	1949	39
980	1950	37
981	1952	35
982	1953	33
983	1954	31
984	1955	29
985	1956	27
986	1957	25
987	1958	23
988	1959	21
989	1960	19
990	1961	17
991	1962	15
992	1963	13
993	1964	11
994	1966	9
995	1967	7
996	1968	5
997	1969	3
998	1970	1
999	1971	0
